onset	duration	staging
0	0	1
30	0	3
60	0	4
90	0	4
120	0	3
150	0	4
180	0	4
210	0	4
240	0	4
270	0	4
300	0	4
330	0	4
360	0	4
390	0	4
420	0	4
450	0	4
480	0	4
510	0	4
540	0	4
570	0	4
600	0	4
630	0	4
660	0	4
690	0	4
720	0	4
750	0	4
780	0	4
810	0	4
840	0	4
870	0	4
900	0	4
930	0	4
960	0	4
990	0	4
1020	0	4
1050	0	4
1080	0	4
1110	0	4
1140	0	4
1170	0	3
1200	0	4
1230	0	4
1260	0	4
1290	0	4
1320	0	4
1350	0	4
1380	0	4
1410	0	4
1440	0	4
1470	0	1
1500	0	4
1530	0	4
1560	0	4
1590	0	4
1620	0	4
1650	0	4
1680	0	4
1710	0	4
1740	0	5
1770	0	5
1800	0	5
1830	0	5
1860	0	5
1890	0	5
1920	0	5
1950	0	4
1980	0	4
2010	0	4
2040	0	4
2070	0	4
2100	0	4
2130	0	5
2160	0	5
2190	0	5
2220	0	5
2250	0	5
2280	0	5
2310	0	5
2340	0	5
2370	0	5
2400	0	5
2430	0	5
2460	0	5
2490	0	5
2520	0	5
2550	0	5
2580	0	5
2610	0	5
2640	0	5
2670	0	5
2700	0	5
2730	0	5
2760	0	5
2790	0	5
2820	0	5
2850	0	4
2880	0	4
2910	0	4
2940	0	3
2970	0	3
3000	0	4
3030	0	4
3060	0	4
3090	0	4
3120	0	4
3150	0	4
3180	0	4
3210	0	4
3240	0	4
3270	0	3
3300	0	4
3330	0	4
3360	0	4
3390	0	4
3420	0	4
3450	0	4
3480	0	4
3510	0	4
3540	0	4
3570	0	3
3600	0	4
3630	0	4
3660	0	4
3690	0	3
3720	0	4
3750	0	4
3780	0	4
3810	0	4
3840	0	4
3870	0	4
3900	0	4
3930	0	4
3960	0	4
3990	0	3
4020	0	1
4050	0	1
4080	0	3
4110	0	3
4140	0	1
4170	0	3
4200	0	3
4230	0	3
4260	0	4
4290	0	4
4320	0	3
4350	0	1
4380	0	1
4410	0	3
4440	0	1
4470	0	3
4500	0	3
4530	0	3
4560	0	3
4590	0	1
4620	0	1
4650	0	1
4680	0	3
4710	0	1
4740	0	3
4770	0	4
4800	0	4
4830	0	4
4860	0	4
4890	0	4
4920	0	4
4950	0	4
4980	0	3
5010	0	4
5040	0	4
5070	0	4
5100	0	4
5130	0	4
5160	0	4
5190	0	4
5220	0	4
5250	0	4
5280	0	4
5310	0	4
5340	0	4
5370	0	4
5400	0	4
5430	0	4
5460	0	4
5490	0	4
5520	0	4
5550	0	4
5580	0	4
5610	0	4
5640	0	4
5670	0	4
5700	0	4
5730	0	4
5760	0	4
5790	0	4
5820	0	3
5850	0	4
5880	0	4
5910	0	4
5940	0	3
5970	0	4
6000	0	4
6030	0	4
6060	0	4
6090	0	4
6120	0	4
6150	0	4
6180	0	4
6210	0	4
6240	0	4
6270	0	4
6300	0	4
6330	0	4
6360	0	4
6390	0	4
6420	0	4
6450	0	5
6480	0	5
6510	0	5
6540	0	5
6570	0	5
6600	0	5
6630	0	5
6660	0	5
6690	0	5
6720	0	5
6750	0	5
6780	0	5
6810	0	5
6840	0	5
6870	0	5
6900	0	5
6930	0	5
6960	0	5
6990	0	5
7020	0	5
7050	0	5
7080	0	5
7110	0	5
7140	0	5
7170	0	5
7200	0	5
7230	0	5
7260	0	5
7290	0	5
7320	0	5
7350	0	5
7380	0	5
7410	0	5
7440	0	5
7470	0	5
7500	0	5
7530	0	5
7560	0	5
7590	0	4
7620	0	4
7650	0	4
7680	0	4
7710	0	4
7740	0	4
7770	0	4
7800	0	4
7830	0	4
7860	0	4
7890	0	4
7920	0	4
7950	0	4
7980	0	4
8010	0	4
8040	0	5
8070	0	5
8100	0	5
8130	0	1
8160	0	4
8190	0	3
8220	0	4
8250	0	4
8280	0	4
8310	0	4
8340	0	4
8370	0	4
8400	0	4
8430	0	4
8460	0	3
8490	0	3
8520	0	3
8550	0	3
8580	0	3
8610	0	3
8640	0	3
8670	0	3
8700	0	1
8730	0	1
8760	0	3
8790	0	3
8820	0	4
8850	0	4
8880	0	4
8910	0	4
8940	0	4
8970	0	3
9000	0	3
9030	0	3
9060	0	4
9090	0	4
9120	0	3
9150	0	4
9180	0	4
9210	0	4
9240	0	4
9270	0	3
9300	0	4
9330	0	4
9360	0	4
9390	0	4
9420	0	4
9450	0	4
9480	0	4
9510	0	4
9540	0	4
9570	0	4
9600	0	4
9630	0	4
9660	0	3
9690	0	3
9720	0	1
9750	0	1
9780	0	4
9810	0	3
9840	0	4
9870	0	4
9900	0	4
9930	0	4
9960	0	4
9990	0	4
10020	0	4
10050	0	4
10080	0	4
10110	0	4
10140	0	4
10170	0	4
10200	0	4
10230	0	4
10260	0	4
10290	0	4
10320	0	3
10350	0	4
10380	0	4
10410	0	4
10440	0	4
10470	0	4
10500	0	4
10530	0	3
10560	0	4
10590	0	4
10620	0	4
10650	0	4
10680	0	3
10710	0	4
10740	0	4
10770	0	4
10800	0	4
10830	0	4
10860	0	4
10890	0	4
10920	0	4
10950	0	1
10980	0	4
11010	0	4
11040	0	4
11070	0	4
11100	0	4
11130	0	4
11160	0	4
11190	0	4
11220	0	4
11250	0	4
11280	0	4
11310	0	3
11340	0	4
11370	0	3
11400	0	1
11430	0	1
11460	0	4
11490	0	4
11520	0	3
11550	0	4
11580	0	2
11610	0	2
11640	0	2
11670	0	2
11700	0	2
11730	0	2
11760	0	2
11790	0	2
11820	0	2
11850	0	2
11880	0	2
11910	0	2
11940	0	2
11970	0	4
12000	0	2
12030	0	2
12060	0	2
12090	0	2
12120	0	4
12150	0	4
12180	0	4
12210	0	4
12240	0	4
12270	0	2
12300	0	2
12330	0	2
12360	0	1
12390	0	1
12420	0	3
12450	0	4
12480	0	4
12510	0	4
12540	0	2
12570	0	2
12600	0	2
12630	0	2
12660	0	2
12690	0	2
12720	0	2
12750	0	2
12780	0	2
12810	0	2
12840	0	2
12870	0	2
12900	0	2
12930	0	2
12960	0	2
12990	0	2
13020	0	2
13050	0	2
13080	0	2
13110	0	2
13140	0	2
13170	0	2
13200	0	1
13230	0	2
13260	0	2
13290	0	2
13320	0	2
13350	0	2
13380	0	2
13410	0	2
13440	0	2
13470	0	2
13500	0	2
13530	0	2
13560	0	2
13590	0	2
13620	0	2
13650	0	1
13680	0	4
13710	0	4
13740	0	3
13770	0	4
13800	0	4
13830	0	4
13860	0	3
13890	0	4
13920	0	4
13950	0	4
13980	0	4
14010	0	4
14040	0	4
14070	0	4
14100	0	4
14130	0	4
14160	0	4
14190	0	4
14220	0	4
14250	0	4
14280	0	4
14310	0	4
14340	0	4
14370	0	4
14400	0	3
14430	0	4
14460	0	4
14490	0	4
14520	0	4
14550	0	4
14580	0	4
14610	0	4
14640	0	4
14670	0	4
14700	0	3
14730	0	4
14760	0	4
14790	0	4
14820	0	4
14850	0	4
14880	0	4
14910	0	4
14940	0	4
14970	0	4
15000	0	4
15030	0	4
15060	0	4
15090	0	4
15120	0	4
15150	0	4
15180	0	4
15210	0	4
15240	0	4
15270	0	4
15300	0	4
15330	0	4
15360	0	4
15390	0	4
15420	0	4
15450	0	4
15480	0	4
15510	0	4
15540	0	4
15570	0	4
15600	0	4
15630	0	4
15660	0	4
15690	0	5
15720	0	5
15750	0	5
15780	0	5
15810	0	5
15840	0	5
15870	0	5
15900	0	5
15930	0	5
15960	0	5
15990	0	5
16020	0	5
16050	0	5
16080	0	5
16110	0	5
16140	0	5
16170	0	5
16200	0	5
16230	0	5
16260	0	5
16290	0	5
