onset	duration	trial_type
0.0	0	Beginning of Recording
0.0	0	Started Analyzer - ECG
0.0	0	Started Analyzer - CSA
0.0	0	Montage:TrialEarEEG
0.0	0	Started Analyzer - Sleep Events
0.05	0	Started Analyzer - Auto-Staging
0.05	0	Started Analyzer - ECG
0.05	0	Started Analyzer - Data Trends
0.05	0	Started Analyzer - Sleep Events
0.055	0	Auto-Staging Montage Error
1.825	0	TrialEarEEG-nat
391.83	0	Lights Off
587.835	0	Obs
597.165	0	Artifact
604.74	0	Obs
604.965	0	Artifact
614.835	0	Artifact
619.14	0	Obs
619.59	0	Artifact
634.455	0	Artifact
638.55	0	Obs
650.145	0	Obs
652.11	0	Artifact
670.095	0	Artifact
674.925	0	Obs
683.565	0	Artifact
689.235	0	Obs
697.23	0	Artifact
705.195	0	Obs
714.135	0	Artifact
726.66	0	Artifact
735.375	0	Artifact
741.0	0	Obs
744.33	0	Artifact
747.645	0	Artifact
757.77	0	Artifact
764.745	0	Artifact
768.03	0	Obs
785.37	0	Artifact
790.215	0	Obs
791.55	0	Arousal
832.83	0	Obs
838.755	0	Artifact
841.11	0	Obs
847.215	0	Artifact
849.255	0	Obs
854.595	0	Artifact
857.34	0	Obs
869.52	0	Artifact
875.265	0	Artifact
879.39	0	Obs
880.485	0	Arousal
893.25	0	Artifact
899.295	0	Artifact
911.595	0	Obs
911.88	0	Artifact
915.975	0	Arousal
980.88	0	Artifact
988.65	0	Obs
988.815	0	Artifact
1016.2	0	Arousal
1033.275	0	Obs
1057.56	0	Artifact
1076.265	0	Obs
1085.805	0	Artifact
1089.3	0	Obs
1094.04	0	Artifact
1097.805	0	Obs
1104.945	0	Artifact
1116.165	0	Artifact
1117.065	0	Obs
1132.74	0	Obs
1142.79	0	Obs
1143.285	0	Artifact
1151.925	0	Artifact
1165.305	0	Artifact
1172.925	0	Obs
1173.495	0	Artifact
1187.595	0	Artifact
1191.405	0	Obs
1201.815	0	Artifact
1208.505	0	Obs
1209.255	0	Artifact
1225.98	0	Obs
1227.87	0	Arousal
1233.555	0	Arousal
1271.265	0	Obs
1282.5	0	Obs
1283.16	0	Artifact
1300.785	0	Artifact
1304.415	0	Artifact
1307.25	0	Obs
1309.665	0	Obs
1318.98	0	Obs
1320.57	0	Artifact
1324.62	0	Obs
