onset	duration	trial_type
0.0	0	Beginning of Recording
0.0	0	Started Analyzer - CSA
0.0	0	Started Analyzer - Sleep Events
0.0	0	Montage:TrialEarEEG
0.0	0	Started Analyzer - ECG
0.05	0	Started Analyzer - Auto-Staging
0.05	0	Started Analyzer - ECG
0.05	0	Started Analyzer - Data Trends
0.055	0	Auto-Staging Montage Error
2.515	0	TrialEarEEG-nat
872.59	0	Lights Off
875.05	0	Started Analyzer - Sleep Events
5410.525	0	Artifact
5413.785	0	Obs
5434.65	0	Obs
5435.185	0	Artifact
5453.62	0	Artifact
5472.805	0	Artifact
5486.275	0	Artifact
5490.255	0	Obs
5501.68	0	Artifact
5508.495	0	Obs
5514.895	0	Artifact
5524.06	0	Artifact
5535.205	0	Artifact
5546.545	0	Artifact
5575.585	0	Artifact
5585.46	0	Obs
5594.875	0	Artifact
5602.315	0	Artifact
5602.755	0	Obs
5608.99	0	Artifact
5626.375	0	Artifact
5627.925	0	Obs
5661.22	0	Artifact
5666.605	0	Artifact
5672.65	0	Artifact
5677.605	0	Obs
5681.53	0	Artifact
5692.09	0	Artifact
5708.725	0	Artifact
5723.2	0	Artifact
5730.165	0	Obs
5735.61	0	Obs
5748.325	0	Artifact
5757.97	0	Artifact
5773.6	0	Artifact
5776.365	0	Obs
5782.27	0	Artifact
5796.355	0	Artifact
5813.905	0	Artifact
5820.355	0	Artifact
5829.835	0	Artifact
5838.205	0	Artifact
5845.35	0	Obs
5860.525	0	Artifact
5867.685	0	Obs
5877.295	0	Artifact
5878.56	0	Obs
5884.57	0	Artifact
5885.505	0	Obs
5891.47	0	Artifact
5901.775	0	Artifact
5905.78	0	Artifact
5928.615	0	Obs
5929.0	0	Artifact
5933.065	0	Artifact
5953.465	0	Artifact
5959.155	0	Obs
5965.03	0	Artifact
5978.71	0	Artifact
5983.225	0	Artifact
5992.42	0	Artifact
5992.71	0	Obs
6007.44	0	Obs
6011.17	0	Artifact
6016.75	0	Artifact
6035.23	0	Artifact
6038.31	0	Obs
6045.205	0	Artifact
6058.885	0	Artifact
6062.965	0	Artifact
6068.235	0	Obs
6078.96	0	Obs
6082.885	0	Artifact
6098.365	0	Artifact
6099.36	0	Obs
6105.045	0	Obs
6105.31	0	Artifact
6109.6	0	Artifact
6110.925	0	Obs
6126.445	0	Artifact
6131.17	0	Artifact
6137.85	0	Obs
6145.24	0	Artifact
6154.825	0	Artifact
6161.2	0	Artifact
6165.78	0	Obs
6170.005	0	Artifact
6186.295	0	Artifact
6189.825	0	Obs
6190.165	0	Artifact
6204.94	0	Artifact
6214.0	0	Artifact
6220.74	0	Obs
6230.44	0	Artifact
6236.005	0	Artifact
6249.52	0	Artifact
6256.125	0	Obs
6271.015	0	Artifact
6278.59	0	Artifact
6285.195	0	Obs
6285.835	0	Artifact
6297.54	0	Obs
6298.015	0	Artifact
6312.775	0	Artifact
6328.635	0	Obs
6332.92	0	Artifact
6345.465	0	Obs
6346.075	0	Artifact
6349.69	0	Artifact
6375.61	0	Artifact
6376.665	0	Obs
6380.035	0	Artifact
