Event
C3
O1
A1
F3
LOC
ELA
ELE
ELI
ERA
ERG
ERE
ERI
ELB1
C4
O2
A2
F4
ROC
ELB
ELG
ELK
ERB
ERK
ERB1
CHIN12
DIF2
DIF3
DIF4
DC1
DC2
DC3
DC4
OSAT
200.0
