onset	duration	trial_type
0.0	0	Beginning of Recording
0.0	0	Started Analyzer - Sleep Events
0.0	0	Montage:TrialEarEEG
0.0	0	Started Analyzer - ECG
0.0	0	Started Analyzer - CSA
0.05	0	Started Analyzer - Auto-Staging
0.05	0	Started Analyzer - ECG
0.05	0	Started Analyzer - Data Trends
0.05	0	Started Analyzer - Sleep Events
0.055	0	Auto-Staging Montage Error
2.545	0	TrialEarEEG-nat
3182.58	0	Lights Off
3551.94	0	Arousal
3602.905	0	Arousal
3761.685	0	Artifact
3842.95	0	Arousal
3876.595	0	Obs
3889.2	0	Artifact
3894.795	0	Artifact
3917.65	0	Obs
3918.085	0	Artifact
3925.24	0	Artifact
3945.36	0	Arousal
3966.675	0	Artifact
3972.45	0	Artifact
3980.43	0	Obs
4002.655	0	Obs
4012.69	0	Artifact
4040.41	0	Artifact
4047.79	0	Obs
4093.0	0	Obs
5622.505	0	Arousal
5643.325	0	Obs
5655.715	0	Arousal
5701.9	0	Obs
5717.125	0	Artifact
5728.255	0	Obs
5745.085	0	Artifact
5749.81	0	Artifact
5757.82	0	Obs
5770.015	0	Obs
5772.1	0	Artifact
5783.005	0	Obs
5802.385	0	Obs
5814.85	0	Artifact
5863.105	0	Obs
5871.205	0	Obs
5872.63	0	Artifact
5889.775	0	Obs
5894.53	0	Obs
5901.805	0	Obs
5946.625	0	Obs
5951.02	0	Obs
5966.395	0	Obs
5977.87	0	Obs
5978.185	0	Artifact
5988.46	0	Obs
6006.94	0	Obs
6011.08	0	Artifact
6015.835	0	Obs
6022.54	0	Artifact
6221.905	0	Obs
6222.46	0	Artifact
6226.84	0	Artifact
6237.16	0	Obs
6237.49	0	Artifact
6249.295	0	Obs
6256.75	0	Obs
6265.825	0	Artifact
6268.72	0	Obs
6279.385	0	Obs
6289.03	0	Artifact
6299.65	0	Obs
6309.715	0	Obs
6309.91	0	Artifact
6319.525	0	Artifact
6327.805	0	Artifact
6328.0	0	Obs
6335.5	0	Obs
6339.235	0	Artifact
6339.37	0	Obs
6352.795	0	Artifact
6369.835	0	Obs
6375.07	0	Artifact
6380.5	0	Obs
6380.785	0	Artifact
6386.95	0	Artifact
6394.075	0	Obs
6406.75	0	Obs
6407.005	0	Artifact
6427.255	0	Artifact
6427.785	0	Obs
6459.12	0	Obs
6461.775	0	Artifact
6467.125	0	Arousal
6492.03	0	Obs
6492.145	0	Artifact
6516.555	0	Obs
6516.88	0	Artifact
6523.495	0	Obs
6524.02	0	Artifact
6532.695	0	Obs
6538.66	0	Obs
6538.795	0	Artifact
6545.5	0	Artifact
6548.035	0	Obs
6558.775	0	Obs
6559.23	0	Artifact
6565.165	0	Obs
6565.54	0	Artifact
6588.76	0	Artifact
6589.285	0	Obs
6605.665	0	Artifact
6605.77	0	Obs
6622.015	0	Artifact
6635.515	0	Obs
6635.83	0	Artifact
6644.905	0	Artifact
6644.98	0	Obs
6649.81	0	Obs
6690.13	0	Obs
6700.9	0	Artifact
6705.64	0	Obs
6710.295	0	Artifact
6715.69	0	Obs
6715.825	0	Artifact
6772.29	0	Artifact
6802.15	0	Arousal
6810.73	0	Arousal
6865.305	0	Obs
6865.36	0	Arousal
6920.4	0	Obs
6925.335	0	Artifact
6953.385	0	Artifact
6961.095	0	Artifact
6966.355	0	Arousal
6996.15	0	Artifact
7001.475	0	Artifact
7009.425	0	Artifact
7015.8	0	Artifact
7154.505	0	Artifact
7155.75	0	Obs
7181.82	0	Artifact
7192.275	0	Artifact
7204.095	0	Artifact
7209.18	0	Artifact
7218.27	0	Artifact
7295.065	0	Arousal
7341.705	0	Obs
7342.95	0	Artifact
7361.295	0	Obs
7391.04	0	Obs
7404.015	0	Obs
7417.665	0	Obs
7457.715	0	Obs
7629.705	0	Obs
7865.565	0	Obs
9143.335	0	Arousal
9155.59	0	Arousal
9207.865	0	Arousal
11615.25	0	Obs
11667.885	0	Obs
11681.79	0	Artifact
11687.22	0	Artifact
11693.685	0	Artifact
11709.84	0	Artifact
11714.025	0	Artifact
11719.785	0	Artifact
11805.645	0	Obs
11807.52	0	Arousal
11865.045	0	Artifact
11900.475	0	Arousal
11972.385	0	Lights On
11972.455	0	stoppet
11972.5	0	Stopped Analyzer - ECG
11972.5	0	Stopped Analyzer - Data Trends
11972.5	0	Stopped Analyzer - Sleep Events
11972.5	0	Stopped Analyzer - Auto-Staging
11974.995	0	End of Study
