onset	duration	trial_type
0.0	0	Beginning of Recording
0.0	0	Started Analyzer - Sleep Events
0.0	0	Started Analyzer - ECG
0.0	0	Montage:TrialEarEEG
0.05	0	Started Analyzer - Auto-Staging
0.05	0	Started Analyzer - ECG
0.05	0	Started Analyzer - CSA
0.05	0	Started Analyzer - Data Trends
0.05	0	Started Analyzer - Sleep Events
0.055	0	Auto-Staging Montage Error
4.49	0	nat
60.05	0	Started Analyzer - Sleep Events
60.05	0	Started Analyzer - ECG
1272.58	0	Lights Off
1431.97	0	Obs
1432.415	0	Artifact
1439.495	0	Artifact
1458.505	0	Artifact
1519.925	0	Artifact
1524.785	0	Artifact
1549.305	0	Artifact
1554.935	0	Artifact
1559.74	0	Arousal
1566.655	0	Artifact
1573.705	0	Artifact
1577.085	0	Artifact
1579.755	0	Artifact
1590.895	0	Obs
1607.575	0	Artifact
1613.475	0	Artifact
1621.625	0	Artifact
1626.445	0	Obs
1635.655	0	Artifact
1645.365	0	Artifact
1648.78	0	Obs
1668.045	0	Artifact
1670.905	0	Artifact
1672.945	0	Artifact
1694.385	0	Artifact
1702.755	0	Artifact
1706.605	0	Artifact
1725.49	0	Obs
1737.925	0	Artifact
1740.495	0	Artifact
1753.54	0	Obs
1757.83	0	Obs
1758.105	0	Artifact
1762.015	0	Arousal
1791.635	0	Artifact
1796.29	0	Obs
1798.695	0	Artifact
1801.615	0	Artifact
1813.935	0	Artifact
1817.35	0	Obs
1821.205	0	Artifact
1824.895	0	Artifact
1827.395	0	Artifact
1829.745	0	Artifact
1831.715	0	Artifact
1848.605	0	Artifact
1852.965	0	Artifact
1878.455	0	Artifact
1888.275	0	Artifact
1891.765	0	Artifact
1896.22	0	Obs
1909.215	0	Artifact
1911.595	0	Obs
1912.245	0	Artifact
1918.785	0	Artifact
1930.795	0	Obs
1939.705	0	Artifact
1944.865	0	Obs
1948.155	0	Artifact
1965.125	0	Artifact
1972.155	0	Artifact
1987.3	0	Obs
1993.625	0	Artifact
1995.945	0	Artifact
2000.705	0	Artifact
2003.715	0	Artifact
2008.555	0	Artifact
2033.635	0	Artifact
2039.075	0	Artifact
2057.555	0	Artifact
2084.785	0	Obs
2094.875	0	Artifact
2095.705	0	Obs
2098.715	0	Artifact
2146.985	0	Artifact
2169.655	0	Obs
2238.145	0	Artifact
2310.005	0	Artifact
2349.715	0	Obs
2353.235	0	Arousal
2397.345	0	Artifact
2404.885	0	Obs
2416.125	0	Artifact
2424.035	0	Artifact
2427.685	0	Artifact
2437.705	0	Obs
2458.755	0	Artifact
2468.185	0	Obs
2474.645	0	Artifact
2484.805	0	Artifact
2487.735	0	Artifact
2493.805	0	Obs
2502.865	0	Artifact
2511.205	0	Artifact
2516.645	0	Artifact
2522.725	0	Obs
2653.57	0	Obs
2666.025	0	Artifact
2669.395	0	Obs
2669.825	0	Artifact
3017.38	0	Arousal
3042.58	0	Arousal
3056.885	0	Artifact
3107.83	0	Artifact
3113.155	0	Obs
3124.06	0	Artifact
3126.085	0	Artifact
3129.115	0	Artifact
3135.505	0	Obs
3136.09	0	Artifact
3142.48	0	Artifact
3154.735	0	Artifact
3157.51	0	Obs
3159.49	0	Artifact
3164.47	0	Artifact
3168.58	0	Artifact
3172.93	0	Artifact
3177.685	0	Artifact
3181.795	0	Artifact
3185.725	0	Artifact
3191.38	0	Artifact
3197.125	0	Obs
3197.425	0	Artifact
3201.49	0	Artifact
3205.69	0	Artifact
3212.59	0	Artifact
3218.755	0	Artifact
3228.835	0	Artifact
3242.89	0	Artifact
3247.555	0	Artifact
3257.35	0	Artifact
3262.57	0	Obs
3268.27	0	Artifact
3272.53	0	Artifact
3280.12	0	Artifact
3283.615	0	Artifact
3291.01	0	Artifact
3300.805	0	Artifact
3303.58	0	Artifact
3307.39	0	Artifact
3315.82	0	Artifact
3337.525	0	Artifact
3343.435	0	Artifact
3356.725	0	Artifact
3358.675	0	Obs
3362.455	0	Artifact
3367.495	0	Artifact
3382.195	0	Artifact
3398.965	0	Artifact
3404.08	0	Artifact
3411.955	0	Obs
3563.71	0	Obs
3580.075	0	Artifact
4242.4	0	Arousal
4261.795	0	Arousal
4330.825	0	Artifact
4341.64	0	Artifact
4348.195	0	Obs
4353.73	0	Artifact
4355.62	0	Obs
4357.385	0	Arousal
4376.98	0	Artifact
4386.73	0	Obs
4396.0	0	Artifact
4399.09	0	Artifact
4405.675	0	Artifact
4409.725	0	Obs
4413.055	0	Artifact
4431.01	0	Artifact
4431.205	0	Obs
4433.71	0	Artifact
4441.945	0	Artifact
4456.015	0	Artifact
4459.21	0	Obs
4464.625	0	Obs
4465.195	0	Artifact
4469.56	0	Artifact
4496.935	0	Obs
4497.595	0	Artifact
4501.855	0	Artifact
4511.395	0	Obs
4515.1	0	Obs
4515.73	0	Artifact
4519.705	0	Artifact
4528.225	0	Artifact
4548.67	0	Obs
4556.545	0	Artifact
4558.825	0	Obs
4568.535	0	Arousal
